Row.names...1	sampleID	Subject	subjectID	Time	Group	Bacteroidaceae	Akkermansiaceae	Lachnospiraceae	Sutterellaceae	Porphyromonadaceae	Prevotellaceae	Acidaminococcaceae	Ruminococcaceae	Enterobacteriaceae	Desulfovibrionaceae	Erysipelotrichaceae	Rikenellaceae	Barnesiellaceae	Erysipelatoclostridiaceae	Clostridiales_Incertae_Sedis_XIII
3-D33	112	3	2	33	H2	90974038.83	29089199.29	13469036.72	15963206.44	5411344.823	14789633.59	1297381.287	1276747.173	0	2584446	866640.504	5241111.129	974970.567	18055.01	28372.159
3-D35AM	113	3	2	35	H2	51201355.09	10215059.18	9682081.812	7939395	2370760.677	4339023.1	2987778.061	1090284.495	57499.79	800574	367114.04	1452975.525	404710.078	70768.98	46442.141
3-D35PM	114	3	2	35.5	H2	169306400	10251050	28034480	20474740	9260951	17794370	7340930	1876259	0	1564461	410260.6	2472504	1750445	191455	21880.57
3-D36AM	115	3	2	36	H2	147285431.1	27191900	3199993.44	41112140	10339675.25	8131306	6131980	1013063.19	80401.83	5772851.81	1935004.08	3939689.6	1870682.63	134003.1	58961.34
3-D36PM	116	3	2	36.5	H2	86045393.19	27911861.05	1973593.41	24257160	6205065.64	2041931.1	8550415.53	743514.47	297952.5	3397751.18	1446026.18	3709371.87	1443292.69	161277	41002.63
3-D37AM	117	3	2	37	H2	32635865.86	3344656.124	106079.202	1586270	1681811.97	0	2909099	39340.628	2882404	216373.469	746067.035	596432.105	229721.184	27397.94	4215.068
3-D38	118	3	2	38	H2	32795076.7	9367689	591729.374	156094.1	4661399.716	340754.43	2763784.223	279541.139	8513762	657023.669	1016142.214	707014.626	298925.34	22444.91	8161.785
3-D39	119	3	2	39	H2	40241576.2	4630111.9	758821.161	130312.8	8367080.712	216519.6	5054129.435	149358.471	8725942.623	446070.606	1472534.09	294707.303	243584.585	34081.8	16038.493
3-D42AM	120	3	2	42	H2	54467262.26	427932	5362587.054	595383.6	7152872.96	2017688.9	5631336.738	235672.675	24904810	1424372.475	5645807.95	39278.779	1149421.129	0	57884.517
3-D42PM	121	3	2	42.5	H2	44848442.8	123198.14	3603005.012	555472.3	6661344.38	1726935.2	3250701.483	123198.132	16707400	345819.349	3888305.945	17290.966	1556187.178	4322.741	10806.854
3-D43AM	122	3	2	43	H2	14115146.98	31291.415	1529877.9	538756.5	2943432.966	1886327.9	1154380.496	55780.343	6322906	170062.061	805413.703	3401.24	858473.037	0	16325.954
3-D43PM	123	3	2	43.5	H2	13341072.28	28308.12	352609.97	721608.9	2403210.523	1998950.9	1464076.337	78468.132	3184415.634	459882.873	716145.891	22348.52	293013.959	0	36254.264
3-D44AM	124	3	2	44	H2	20629367.23	62852.42	283266.366	349562.76	2859354.025	1853715.7	1526539	36161.668	2817166	259158.584	331481.907	22385.794	168754.43	0	6026.944
3-D44PM	125	3	2	44.5	H2	76371383.58	497392.6	1849002.87	1270514	12726762.41	4854983.7	4519784.44	105425.6	13086290	789340.38	1746280.55	81096.61	635256.8	0	59470.85
3-D45AM	126	3	2	45	H2	22750270	1071029	176625.8	45095.94	3883262	76412.57	1677318	39458.94	3414139	242390.7	574973.2	182262.8	83302.22	626.3325	11273.98
3-D45PM	127	3	2	45.5	H2	22047951.94	3310144.499	267609.606	25028.239	3651555.727	42997.227	1677533.244	71234.211	4881790	527518.2	537144.449	430613.995	107172.19	0	9626.245
3-D46	128	3	2	46	H2	10108990	555787.9	91211.86	18132.48	2336617	9890.443	214430.3	44781.73	1181084	142861.9	131460.5	152340.3	24451.37	0	412.1018
3-D47	129	3	2	47	H2	20284480.56	6162823.78	1400500.019	1787898.492	4547101.736	404242.23	1155335	129132.967	475982.9	568309.823	392389.573	497193.122	139114.3	1247.661	4366.815
3-D50AM	130	3	2	50	H2	6835702.224	2135734.889	234518.8504	898843.6717	1027000.822	251301.36	141888.3	27462.2476	15910.67	103310.3606	34436.7811	331726.5189	119438.9788	3269.315	1307.7261
3-D50PM	131	3	2	50.5	H2	44390118.07	5179565.9	2056998.066	7405538	5631312.728	881077.9	1612148.446	172422.295	124144.1	418986.172	186216.074	603478.059	1184541.158	0	13793.784
3-D51AM	132	3	2	51	H2	38686439.81	441128.05	4047226.976	3263363	4880286.778	75434.537	1549688	54116.077	88553.58	219744.111	131190.487	349294.635	529681.596	18038.69	0
3-D51PM	133	3	2	51.5	H2	9876787.773	372331.36	615693.321	1010014.136	1721075.333	30883.495	611740.1794	54849.0831	58308.0359	261397.923	51390.1343	166276.7043	172453.4248	6176.699	247.0679
3-D52AM	134	3	2	52	H2	3779146.47	217133.277	335001.658	182147.652	1083861.502	35124.495	134528.196	51090.182	34291.51	90657.312	8607.585	15826.854	23462.611	10967.73	138.832
3-D52PM	135	3	2	52.5	H2	13237885.51	226279.86	693619.144	750189.1	4221851.94	81542.28	655396.154	342477.609	210481	459694.654	56569.961	42300.061	106514.618	24972.33	2038.557
3-D53	136	3	2	53	H2	39740672.25	220350.29	3903705.369	3150007	14740932.28	1139311.161	1840426	1204414.565	1567492	1369676.98	545867.683	72615.427	475756.292	343045.3	0
3-D54	137	3	2	54	H2	8873273.662	67636.57	4613780.938	7365944	18909252.34	18389094	1713460.184	1447744.662	402598.6	819690.8	607118.732	14493.551	254442.333	54753.41	9662.367
3-D57AM	138	3	2	57	H2	35382753.79	89470.01	15920399.08	14052050	39598372.36	32214466.95	8468073.73	5494511.17	473664.8	521031.2	2247276.18	26314.71	773652.44	42103.53	21051.77
3-D57PM	139	3	2	57.5	H2	55108593.06	23036.3	17951039.3	18112290	48767854.15	24758270.91	12906092.7	3927689.671	489521.4	892656.8	1791072.61	5759.076	1825627.029	40313.53	34554.455
3-D58AM	140	3	2	58	H2	116430682.1	26158.32	31645023.46	31102240	31900076.64	29545823.27	12255168.14	2537356.91	52316.64	1320995	1222901.3	58856.22	2779321.35	39237.48	0
3-D58PM	141	3	2	58.5	H2	104301960.9	88663.88	35609633.28	20619892.98	19445096.4	22298963.96	13521239.82	2460422.58	44331.94	1479578	864472.73	66497.91	3413559.2	49873.43	27707.46
3-D59AM	142	3	2	59	H2	104214389.3	95709.05	43215826.25	28029990	12218855.03	19843675.82	6412506.29	1282501.26	0	3400861	918806.81	63806.03	3273249.42	38283.62	25522.41
3-D59PM	143	3	2	59.5	H2	35885178.14	12109.93	8643028.084	4072395	3570697.82	3608757.883	2892543	401357.586	3459.979	607226.3	171268.996	12109.927	1401291.558	0	5189.969
